name_content,org_title,last_eps,year,category,actors,emberUrlFull,serverstr,pathcode,note,img,from,src
Vụ Cướp Kim Cương – Mojave Diamonds,,HD,Năm: 2023,"Thể loại: Phim Hành Động, Phim Hồi Hộp-Gây Cấn, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=ata3jGISh, Server #HYDRAX ,vu-cuop-kim-cuong-mojave-diamonds-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a2d3db42267.jpg,https://phimgihd.net/vu-cuop-kim-cuong-mojave-diamonds/,phimgihd
Thế Giới Tuyệt Vời – World’s Best,,HD,Năm: 2023,"Thể loại: Phim Hài Hước, Phim Lẻ, Phim Lẻ Mới, Phim Netflix, Phim Tâm Lý",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=gp6Kae1BK, Server #HYDRAX ,the-gioi-tuyet-voi-worlds-best-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a2d3a76c2df.jpg,https://phimgihd.net/the-gioi-tuyet-voi-worlds-best/,phimgihd
Mavka: Thần Thoại Rừng Xanh – Mavka: The Forest Song,,HD,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Hoạt Hình, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=adKytQr9M, Server #HYDRAX ,mavka-than-thoai-rung-xanh-mavka-the-forest-song-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a2d359561f0.jpg,https://phimgihd.net/mavka-than-thoai-rung-xanh-mavka-the-forest-song/,phimgihd
Hugot – Hugot,,HD,Năm: 2023,"Thể loại: Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý",Quốc gia:Philippines,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=ZVKmib6KBb, Server #HYDRAX ,hugot-hugot-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a2be5a3897b.jpg,https://phimgihd.net/hugot-hugot/,phimgihd
Cô Nàng Nimona – Nimona,,HD,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Hành Động, Phim Lẻ, Phim Lẻ Mới, Phim Netflix",Quốc gia:Hoạt Hình,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=7x9ko_frH, Server #HYDRAX ,co-nang-nimona-nimona-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a2bd82bc2aa.jpg,https://phimgihd.net/co-nang-nimona-nimona/,phimgihd
Biệt Đội Rất Ổn – The Ideal Squad,,HD,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Lẻ, Phim Lẻ Mới, Phim Việt Nam",Quốc gia:Việt Nam,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=XtAyisk2k, Server #HYDRAX ,biet-doi-rat-on-the-ideal-squad-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a0401b9b5e8.jpg,https://phimgihd.net/biet-doi-rat-on-the-ideal-squad/,phimgihd
Truyện Sắc Dục 2 – Lust Stories 2,,HD,Năm: 2023,"Thể loại: Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý, Phim Tình Cảm-Lãng Mạn",Quốc gia:Ấn Độ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=qup-7O_rI, Server #HYDRAX ,truyen-sac-duc-2-lust-stories-2-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a03f7c8b97b.jpg,https://phimgihd.net/truyen-sac-duc-2-lust-stories-2/,phimgihd
Krasue 2: Ma Lai Rút Ruột – Inhuman Kiss 2: The Last Breath,,HD,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Hồi Hộp-Gây Cấn, Phim Kinh Dị, Phim Lẻ, Phim Lẻ Mới, Phim Viễn Tưởng",Quốc gia:Thái Lan,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=AQNga-UI3, Server #HYDRAX ,krasue-2-ma-lai-rut-ruot-inhuman-kiss-2-the-last-breath-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a03f3bdbe57.png,https://phimgihd.net/krasue-2-ma-lai-rut-ruot-inhuman-kiss-2-the-last-breath/,phimgihd
Con Nhót Mót Chồng,,HD,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Lẻ, Phim Lẻ Mới, Phim Việt Nam",Quốc gia:Việt Nam,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=Y_kvp-lwc, Server #HYDRAX ,con-nhot-mot-chong-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/649da367a322e.jpg,https://phimgihd.net/con-nhot-mot-chong/,phimgihd
Tần Lĩnh Trấn Thiên Quan – Qinling Town Tiancoffins,,HD,Năm: 2023,"Thể loại: Phim Hành Động, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Trung Quốc,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=-DWjbk1Nq, Server #HYDRAX ,tan-linh-tran-thien-quan-qinling-town-tiancoffins-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/649d9d5e20eed.jpg,https://phimgihd.net/tan-linh-tran-thien-quan-qinling-town-tiancoffins/,phimgihd
